@relation TestUser1

@attribute FeatureName1AccX numeric
@attribute FeatureName2AccX numeric
@attribute FeatureName3AccX numeric
@attribute FeatureName1AccY numeric
@attribute FeatureName2AccY numeric
@attribute FeatureName3AccY numeric
@attribute FeatureName1AccZ numeric
@attribute FeatureName2AccZ numeric
@attribute FeatureName3AccZ numeric
@attribute FeatureName1GyrX numeric
@attribute FeatureName2GyrX numeric
@attribute FeatureName3GyrX numeric
@attribute FeatureName1GyrY numeric
@attribute FeatureName2GyrY numeric
@attribute FeatureName3GyrY numeric
@attribute FeatureName1GyrZ numeric
@attribute FeatureName2GyrZ numeric
@attribute FeatureName3GyrZ numeric
@attribute class {1, 0}

@data
-0.208214, -0.524684, 0.149149, 0.178835, -0.061258, 0.420813, 0.343411, 0.122515, 0.580615, 5.080777, 4.389936, 5.653778, 0.323767, -1.469695, 2.369704, 8.674773, 7.645287, 9.502751, 0
-0.203896, -0.524684, 0.149149, 0.171857, -0.061258, 0.420813, 0.345607, 0.122515, 0.580615, 5.071077, 4.389936, 5.653778, 0.295783, -1.699484, 2.369704, 8.721396, 7.645287, 10.517654, 0
-0.206468, -0.524684, 0.149149, 0.163360, -0.087891, 0.420813, 0.347285, 0.122515, 0.580615, 5.042032, 3.700568, 5.653778, 0.236492, -2.350555, 2.369704, 8.782060, 7.645287, 10.709146, 0
-0.213051, -0.524684, 0.149149, 0.153557, -0.178446, 0.420813, 0.353163, 0.122515, 0.580615, 5.051967, 3.700568, 5.845269, 0.226785, -2.350555, 2.369704, 8.817741, 7.645287, 10.709146, 0
-0.226990, -0.753734, 0.149149, 0.140591, -0.255684, 0.420813, 0.353731, 0.122515, 0.580615, 5.072666, 3.700568, 5.845269, 0.185938, -2.350555, 2.369704, 8.811276, 7.645287, 10.709146, 0
-0.246216, -0.849616, 0.149149, 0.127601, -0.279654, 0.420813, 0.350036, 0.122515, 0.580615, 5.088385, 3.700568, 5.845269, 0.124253, -2.350555, 2.369704, 8.786018, 7.645287, 10.709146, 0
-0.261460, -0.849616, 0.149149, 0.114442, -0.300961, 0.420813, 0.347970, 0.122515, 0.580615, 5.103779, 3.700568, 5.845269, 0.060918, -2.350555, 2.369704, 8.761082, 7.645287, 10.709146, 0
-0.265950, -0.849616, 0.149149, 0.103581, -0.300961, 0.420813, 0.343607, 0.122515, 0.580615, 5.120446, 3.700568, 5.845269, 0.003801, -2.350555, 2.369704, 8.742299, 7.645287, 10.709146, 0
-0.261794, -0.849616, 0.149149, 0.095803, -0.300961, 0.420813, 0.336086, 0.058594, 0.580615, 5.138272, 3.700568, 5.845269, -0.038636, -2.350555, 2.369704, 8.730422, 7.645287, 10.709146, 0
-0.254938, -0.849616, 0.149149, 0.090479, -0.300961, 0.420813, 0.327975, 0.047941, 0.580615, 5.150977, 3.700568, 5.845269, -0.077116, -2.350555, 2.369704, 8.725133, 7.645287, 10.709146, 0
-0.249647, -0.849616, 0.149149, 0.087107, -0.300961, 0.420813, 0.319679, 0.005327, 0.580615, 5.161965, 3.700568, 5.845269, -0.113671, -2.350555, 2.369704, 8.721201, 7.645287, 10.709146, 0
-0.247003, -0.849616, 0.149149, 0.084882, -0.300961, 0.420813, 0.310103, -0.071911, 0.580615, 5.172566, 3.700568, 5.845269, -0.150942, -2.350555, 2.369704, 8.714014, 7.645287, 10.709146, 0
-0.245591, -0.849616, 0.149149, 0.083560, -0.300961, 0.420813, 0.298872, -0.157139, 0.580615, 5.182004, 3.700568, 5.845269, -0.188921, -2.350555, 2.369704, 8.707811, 7.645287, 10.709146, 0
